class,model,kernel,mmdÂ²,p_value,effect_size,params
571,bgan,rbf_kernel,0.13453364372253418,0.0019960079807788134,0.0009074429981410503,"{'gamma': tensor(0.0067, device='cuda:0')}"
571,bgan,laplacian_kernel,0.08532309532165527,0.0019960079807788134,0.0005771055584773421,"{'sigma': tensor(147.8466, device='cuda:0')}"
571,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[118.9878, -11.6886,   3.7417,  ...,   3.0649,   8.5362,  -3.1403],
        [-11.6889,  77.1010,   5.4986,  ...,  -1.9279,  -2.4884,   1.9623],
        [  3.7401,   5.4988, 110.2291,  ...,   5.3538, -18.2640, -14.0089],
        ...,
        [  3.0661,  -1.9278,   5.3532,  ...,  60.1755,  12.8363, -10.2375],
        [  8.5362,  -2.4887, -18.2657,  ...,  12.8359, 102.2579,   2.2271],
        [ -3.1379,   1.9635, -14.0105,  ..., -10.2367,   2.2289,  89.6819]],
       device='cuda:0')}"
571,bgan,mixed_kernel,0.10992836952209473,0.0019960079807788134,0.10992836952209473,"{'gamma_rbf': tensor(0.0067, device='cuda:0'), 'sigma_lap': tensor(147.8466, device='cuda:0'), 'alpha': 0.5}"
571,bgan,w2_ot,7.823298093231241,,,{}
571,midj,rbf_kernel,0.0931018590927124,0.0019960079807788134,0.0006279814406298101,"{'gamma': tensor(0.0067, device='cuda:0')}"
571,midj,laplacian_kernel,0.05440324544906616,0.0019960079807788134,0.00036797087523154914,"{'sigma': tensor(147.8466, device='cuda:0')}"
571,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 88.4335,  -0.7532,  12.1617,  ...,  -1.8627,   0.4855, -17.9228],
        [ -0.7522, 101.6957,   9.7693,  ...,  12.6376,   6.4735,  14.9529],
        [ 12.1614,   9.7700, 103.7710,  ...,   6.5718,  14.3177,  -8.5673],
        ...,
        [ -1.8633,  12.6402,   6.5717,  ...,  80.3206,  11.9556,  -3.0619],
        [  0.4854,   6.4742,  14.3175,  ...,  11.9558,  99.4409,   6.4081],
        [-17.9215,  14.9546,  -8.5650,  ...,  -3.0617,   6.4071, 105.5442]],
       device='cuda:0')}"
571,midj,mixed_kernel,0.07375246286392212,0.0019960079807788134,0.07375246286392212,"{'gamma_rbf': tensor(0.0067, device='cuda:0'), 'sigma_lap': tensor(147.8466, device='cuda:0'), 'alpha': 0.5}"
571,midj,w2_ot,7.806241320211843,,,{}
571,sd_15,rbf_kernel,0.15381407737731934,0.0019960079807788134,0.0010374914854764938,"{'gamma': tensor(0.0067, device='cuda:0')}"
571,sd_15,laplacian_kernel,0.10719132423400879,0.0019960079807788134,0.000725017162039876,"{'sigma': tensor(147.8466, device='cuda:0')}"
571,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[155.7686,  17.0340,  -0.2905,  ...,  -5.3561, -14.6638,  12.5941],
        [ 17.0367, 142.1392,  -5.0019,  ...,  -1.5596,   0.9333,   8.3838],
        [ -0.2911,  -5.0030, 147.4090,  ..., -19.2097,  14.5692,   3.8004],
        ...,
        [ -5.3541,  -1.5562, -19.2091,  ..., 112.1618,   6.1617,  15.1260],
        [-14.6623,   0.9352,  14.5687,  ...,   6.1646, 134.6562, -19.0991],
        [ 12.5975,   8.3832,   3.8055,  ...,  15.1246, -19.1018, 148.4122]],
       device='cuda:0')}"
571,sd_15,mixed_kernel,0.1305028200149536,0.0019960079807788134,0.1305028200149536,"{'gamma_rbf': tensor(0.0067, device='cuda:0'), 'sigma_lap': tensor(147.8466, device='cuda:0'), 'alpha': 0.5}"
571,sd_15,w2_ot,7.511642198515483,,,{}
084,bgan,rbf_kernel,0.11883664131164551,0.0019960079807788134,0.0011921464465558529,"{'gamma': tensor(0.0100, device='cuda:0')}"
084,bgan,laplacian_kernel,0.08121222257614136,0.0019960079807788134,0.0006593388970941305,"{'sigma': tensor(123.1722, device='cuda:0')}"
084,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[233.2271, -21.6291,  -5.9535,  ...,   2.5054, -18.4365, -31.2746],
        [-21.6368, 203.0102,   7.1840,  ...,   9.3031,  16.0607,   4.3811],
        [ -5.9619,   7.1871, 219.7135,  ...,  13.8906, -12.4239,   4.6603],
        ...,
        [  2.5338,   9.3071,  13.8829,  ..., 232.2812, -16.7086, -45.5613],
        [-18.4401,  16.0567, -12.4325,  ..., -16.7050, 316.5765,  30.2774],
        [-31.2765,   4.3875,   4.6610,  ..., -45.5525,  30.2857, 222.8659]],
       device='cuda:0')}"
084,bgan,mixed_kernel,0.1000245213508606,0.0019960079807788134,0.1000245213508606,"{'gamma_rbf': tensor(0.0100, device='cuda:0'), 'sigma_lap': tensor(123.1722, device='cuda:0'), 'alpha': 0.5}"
084,bgan,w2_ot,6.282143424269015,,,{}
084,midj,rbf_kernel,0.1336756944656372,0.0019960079807788134,0.001341009046882391,"{'gamma': tensor(0.0100, device='cuda:0')}"
084,midj,laplacian_kernel,0.09160083532333374,0.0019960079807788134,0.0007436810410581529,"{'sigma': tensor(123.1722, device='cuda:0')}"
084,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[259.0203, -24.0039,  23.5722,  ...,  41.2882, -34.8695, -28.9810],
        [-24.0050, 246.4089, -10.7873,  ..., -36.8398,  29.6690, -32.7155],
        [ 23.5680, -10.7860, 208.8066,  ...,  55.9533,  -4.9004,  -2.2033],
        ...,
        [ 41.2898, -36.8282,  55.9519,  ..., 243.0107, -13.2718,  10.7427],
        [-34.8755,  29.6595,  -4.8971,  ..., -13.2744, 248.4916,   3.6498],
        [-28.9833, -32.7105,  -2.1997,  ...,  10.7378,   3.6412, 236.3522]],
       device='cuda:0')}"
084,midj,mixed_kernel,0.11263823509216309,0.0019960079807788134,0.11263823509216309,"{'gamma_rbf': tensor(0.0100, device='cuda:0'), 'sigma_lap': tensor(123.1722, device='cuda:0'), 'alpha': 0.5}"
084,midj,w2_ot,6.35443229560145,,,{}
084,sd_15,rbf_kernel,0.21919715404510498,0.0019960079807788134,0.0021989441011101007,"{'gamma': tensor(0.0100, device='cuda:0')}"
084,sd_15,laplacian_kernel,0.14588046073913574,0.0019960079807788134,0.0011843618704006076,"{'sigma': tensor(123.1722, device='cuda:0')}"
084,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[191.7779,   6.2468,  22.4396,  ...,  -9.4676,   0.4145,  -3.4604],
        [  6.2420, 229.8282,   6.9918,  ..., -12.0756, -18.0893,  14.9296],
        [ 22.4355,   6.9978, 205.0176,  ...,  -7.6344,  11.8973,   2.9303],
        ...,
        [ -9.4645, -12.0817,  -7.6284,  ..., 165.2723,   5.6084,  -6.9211],
        [  0.4165, -18.0879,  11.8949,  ...,   5.5995, 209.0453,  34.5088],
        [ -3.4628,  14.9320,   2.9310,  ...,  -6.9255,  34.5155, 221.1520]],
       device='cuda:0')}"
084,sd_15,mixed_kernel,0.18253880739212036,0.0019960079807788134,0.18253880739212036,"{'gamma_rbf': tensor(0.0100, device='cuda:0'), 'sigma_lap': tensor(123.1722, device='cuda:0'), 'alpha': 0.5}"
084,sd_15,w2_ot,6.710371067318937,,,{}
661,bgan,rbf_kernel,0.135306715965271,0.0019960079807788134,0.001257385709322989,"{'gamma': tensor(0.0093, device='cuda:0')}"
661,bgan,laplacian_kernel,0.10257571935653687,0.0019960079807788134,0.0008106593159027398,"{'sigma': tensor(126.5337, device='cuda:0')}"
661,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[240.3534, -22.9346,  50.8292,  ...,  -1.8180,   9.2347, -35.0567],
        [-22.9527, 236.3624,  42.4775,  ..., -30.3332,  54.4720,  16.3128],
        [ 50.8320,  42.4791, 305.8788,  ..., -26.1237,  50.4580, -16.3461],
        ...,
        [ -1.7904, -30.3512, -26.1138,  ..., 191.1047, -51.0941,  16.4314],
        [  9.2228,  54.4849,  50.4746,  ..., -51.0908, 215.5231,   8.0945],
        [-35.0634,  16.3188, -16.3407,  ...,  16.4372,   8.0961, 174.5629]],
       device='cuda:0')}"
661,bgan,mixed_kernel,0.11894112825393677,0.0019960079807788134,0.11894112825393677,"{'gamma_rbf': tensor(0.0093, device='cuda:0'), 'sigma_lap': tensor(126.5337, device='cuda:0'), 'alpha': 0.5}"
661,bgan,w2_ot,6.5154508314495825,,,{}
661,midj,rbf_kernel,0.08918023109436035,0.0019960079807788134,0.0008287389646284282,"{'gamma': tensor(0.0093, device='cuda:0')}"
661,midj,laplacian_kernel,0.05482441186904907,0.0019960079807788134,0.0004332791722845286,"{'sigma': tensor(126.5337, device='cuda:0')}"
661,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[211.7800,   3.0049, -73.5925,  ...,  33.4525, -17.6128,   9.6591],
        [  3.0018, 154.6427, -13.1577,  ..., -28.9915,  -7.2153,   0.8758],
        [-73.5954, -13.1610, 178.2497,  ...,  -4.4723,  17.7445,  18.1622],
        ...,
        [ 33.4403, -28.9878,  -4.4764,  ..., 203.6452,  16.8557,   4.0770],
        [-17.6108,  -7.2110,  17.7437,  ...,  16.8556, 170.7638,  19.2057],
        [  9.6600,   0.8740,  18.1640,  ...,   4.0823,  19.2157, 209.6518]],
       device='cuda:0')}"
661,midj,mixed_kernel,0.07200229167938232,0.0019960079807788134,0.07200229167938232,"{'gamma_rbf': tensor(0.0093, device='cuda:0'), 'sigma_lap': tensor(126.5337, device='cuda:0'), 'alpha': 0.5}"
661,midj,w2_ot,6.575116473173875,,,{}
661,sd_15,rbf_kernel,0.16615045070648193,0.0019960079807788134,0.001544011989608407,"{'gamma': tensor(0.0093, device='cuda:0')}"
661,sd_15,laplacian_kernel,0.13296037912368774,0.0019960079807788134,0.0010507903061807156,"{'sigma': tensor(126.5337, device='cuda:0')}"
661,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 3.4676e+02, -8.2990e+00,  3.8173e+01,  ..., -2.0844e+00,
          5.6114e+00, -4.7320e+01],
        [-8.3005e+00,  2.3788e+02, -2.8748e-01,  ..., -2.3962e+01,
         -2.5930e+01, -8.6077e+00],
        [ 3.8181e+01, -2.8056e-01,  2.6289e+02,  ...,  1.1569e+01,
          1.4241e+01, -6.0998e+00],
        ...,
        [-2.0923e+00, -2.3962e+01,  1.1578e+01,  ...,  2.4363e+02,
          2.6594e+00,  1.3286e+01],
        [ 5.6128e+00, -2.5923e+01,  1.4243e+01,  ...,  2.6534e+00,
          2.6938e+02, -7.4201e+00],
        [-4.7326e+01, -8.6119e+00, -6.0934e+00,  ...,  1.3284e+01,
         -7.4196e+00,  2.1682e+02]], device='cuda:0')}"
661,sd_15,mixed_kernel,0.14955544471740723,0.0019960079807788134,0.14955544471740723,"{'gamma_rbf': tensor(0.0093, device='cuda:0'), 'sigma_lap': tensor(126.5337, device='cuda:0'), 'alpha': 0.5}"
661,sd_15,w2_ot,6.314508909040011,,,{}
857,bgan,rbf_kernel,0.10074567794799805,0.0019960079807788134,0.0006458841962739825,"{'gamma': tensor(0.0064, device='cuda:0')}"
857,bgan,laplacian_kernel,0.08229798078536987,0.0019960079807788134,0.0005441033863462508,"{'sigma': tensor(151.2543, device='cuda:0')}"
857,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 1.9584e+02,  2.7630e+01, -4.1064e+01,  ...,  1.1246e+01,
         -4.2150e+00, -1.3339e+01],
        [ 2.7630e+01,  1.5587e+02, -1.7633e+00,  ...,  1.4306e+01,
          4.6977e+00,  4.2983e+00],
        [-4.1063e+01, -1.7740e+00,  2.0418e+02,  ...,  5.1350e+00,
          5.4445e-02,  3.1612e+01],
        ...,
        [ 1.1247e+01,  1.4297e+01,  5.1340e+00,  ...,  1.0014e+02,
          9.8046e+00,  3.5780e+00],
        [-4.2147e+00,  4.7024e+00,  5.6528e-02,  ...,  9.8026e+00,
          1.2560e+02, -2.3290e+00],
        [-1.3342e+01,  4.2988e+00,  3.1615e+01,  ...,  3.5763e+00,
         -2.3277e+00,  1.4177e+02]], device='cuda:0')}"
857,bgan,mixed_kernel,0.0915217399597168,0.0019960079807788134,0.0915217399597168,"{'gamma_rbf': tensor(0.0064, device='cuda:0'), 'sigma_lap': tensor(151.2543, device='cuda:0'), 'alpha': 0.5}"
857,bgan,w2_ot,7.236397680399336,,,{}
857,midj,rbf_kernel,0.10571610927581787,0.0019960079807788134,0.0006777498056180775,"{'gamma': tensor(0.0064, device='cuda:0')}"
857,midj,laplacian_kernel,0.058167099952697754,0.0019960079807788134,0.00038456491893157363,"{'sigma': tensor(151.2543, device='cuda:0')}"
857,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[ 93.6239,  -0.1598,  -2.6328,  ...,   1.3946, -10.2227,   1.4907],
        [ -0.1608, 119.8823,  -7.2770,  ...,  15.4690,   8.4606,  24.7023],
        [ -2.6322,  -7.2786, 134.9435,  ...,   6.8455,  12.0633,  -6.5984],
        ...,
        [  1.3968,  15.4671,   6.8451,  ...,  74.1461,  11.1390,  -2.3476],
        [-10.2215,   8.4576,  12.0641,  ...,  11.1415, 131.7742,   7.0857],
        [  1.4922,  24.6978,  -6.6003,  ...,  -2.3458,   7.0848, 119.5749]],
       device='cuda:0')}"
857,midj,mixed_kernel,0.08194178342819214,0.0019960079807788134,0.08194178342819214,"{'gamma_rbf': tensor(0.0064, device='cuda:0'), 'sigma_lap': tensor(151.2543, device='cuda:0'), 'alpha': 0.5}"
857,midj,w2_ot,8.143248737451165,,,{}
857,sd_15,rbf_kernel,0.10507464408874512,0.0019960079807788134,0.0006736373761668801,"{'gamma': tensor(0.0064, device='cuda:0')}"
857,sd_15,laplacian_kernel,0.07776063680648804,0.0019960079807788134,0.0005141053115949035,"{'sigma': tensor(151.2543, device='cuda:0')}"
857,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[153.5145,   3.0920, -29.7775,  ...,   1.5565,  -3.0283,  20.0804],
        [  3.0924, 172.5361,  18.6006,  ..., -16.8775,   3.7727,  13.6393],
        [-29.7785,  18.6036, 161.1215,  ...,  16.2648, -11.6536, -14.1412],
        ...,
        [  1.5552, -16.8767,  16.2695,  ..., 111.1280, -10.0270, -34.7860],
        [ -3.0276,   3.7687, -11.6564,  ..., -10.0236, 116.0916,  10.3233],
        [ 20.0845,  13.6364, -14.1420,  ..., -34.7844,  10.3268, 125.2656]],
       device='cuda:0')}"
857,sd_15,mixed_kernel,0.09141755104064941,0.0019960079807788134,0.09141755104064941,"{'gamma_rbf': tensor(0.0064, device='cuda:0'), 'sigma_lap': tensor(151.2543, device='cuda:0'), 'alpha': 0.5}"
857,sd_15,w2_ot,7.391133744202669,,,{}
489,bgan,rbf_kernel,0.1349318027496338,0.0019960079807788134,0.0008273228304460645,"{'gamma': tensor(0.0061, device='cuda:0')}"
489,bgan,laplacian_kernel,0.09355384111404419,0.0019960079807788134,0.0006110985414125025,"{'sigma': tensor(153.0912, device='cuda:0')}"
489,bgan,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[149.6482,   5.7917,  29.6800,  ...,  15.8901,  -2.7074,  31.2651],
        [  5.7853, 178.5581, -23.1148,  ...,  -8.8321,  17.0388,  50.7512],
        [ 29.6780, -23.1174, 156.8243,  ...,   9.5195,  -9.2951, -25.0550],
        ...,
        [ 15.8903,  -8.8350,   9.5185,  ...,  93.9605, -17.0307, -15.9265],
        [ -2.7118,  17.0387,  -9.2929,  ..., -17.0315, 127.4885,  19.1276],
        [ 31.2631,  50.7517, -25.0492,  ..., -15.9212,  19.1291, 151.6595]],
       device='cuda:0')}"
489,bgan,mixed_kernel,0.1142427921295166,0.0019960079807788134,0.1142427921295166,"{'gamma_rbf': tensor(0.0061, device='cuda:0'), 'sigma_lap': tensor(153.0912, device='cuda:0'), 'alpha': 0.5}"
489,bgan,w2_ot,8.019393208857615,,,{}
489,midj,rbf_kernel,0.14871859550476074,0.0019960079807788134,0.0009118553716689348,"{'gamma': tensor(0.0061, device='cuda:0')}"
489,midj,laplacian_kernel,0.09997671842575073,0.0019960079807788134,0.0006530531099997461,"{'sigma': tensor(153.0912, device='cuda:0')}"
489,midj,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[162.7106,  14.1107, -22.6084,  ...,  18.8538,  12.4978, -13.6656],
        [ 14.1181, 150.3948,   1.3043,  ...,  10.4746, -22.0791, -47.3939],
        [-22.6057,   1.3096, 150.2677,  ...,  -5.4142, -38.1775, -27.8881],
        ...,
        [ 18.8527,  10.4731,  -5.4133,  ..., 107.4016, -11.9056, -11.2406],
        [ 12.4960, -22.0791, -38.1825,  ..., -11.9032, 156.2108,  42.5529],
        [-13.6675, -47.3974, -27.8876,  ..., -11.2349,  42.5485, 242.1741]],
       device='cuda:0')}"
489,midj,mixed_kernel,0.12434756755828857,0.0019960079807788134,0.12434756755828857,"{'gamma_rbf': tensor(0.0061, device='cuda:0'), 'sigma_lap': tensor(153.0912, device='cuda:0'), 'alpha': 0.5}"
489,midj,w2_ot,7.829878818654527,,,{}
489,sd_15,rbf_kernel,0.08599567413330078,0.0019960079807788134,0.000527275144122541,"{'gamma': tensor(0.0061, device='cuda:0')}"
489,sd_15,laplacian_kernel,0.06399333477020264,0.0019960079807788134,0.00041800778126344085,"{'sigma': tensor(153.0912, device='cuda:0')}"
489,sd_15,mahalanobis_kernel,0.0,1.0,0.0,"{'Sigma_inv': tensor([[157.4597,  40.0198,   5.3947,  ...,   5.9508,  -3.5748,  -0.2623],
        [ 40.0205, 181.4750, -21.7247,  ...,  -6.3802,  16.0714,   9.9056],
        [  5.3900, -21.7310, 153.7016,  ...,  31.4975,  -3.1163,  22.6057],
        ...,
        [  5.9534,  -6.3697,  31.5005,  ..., 147.4664,  -6.9981,  -8.8894],
        [ -3.5730,  16.0686,  -3.1183,  ...,  -6.9950, 126.0155,  24.0141],
        [ -0.2653,   9.9024,  22.6047,  ...,  -8.8870,  24.0136, 156.6091]],
       device='cuda:0')}"
